# HRTS/jetppf/30 at t=50.875s
# Remapped onto normaliazed midplane r/a (LFS) using 104448/eftp/zstancar/157
# At t=50.900s Rmag=2.999m, Zmag=0.270m
# R of separatrix at the midplane is Rbnd=3.825m
#     Rmid           NE       error
5.854854e-02 4.142731e+19 1.661340e+18
4.798121e-02 4.086202e+19 1.706581e+18
4.143757e-02 3.612313e+19 1.511350e+18
4.481233e-02 3.913837e+19 1.569547e+18
5.655591e-02 4.106772e+19 1.774708e+18
7.161332e-02 4.234462e+19 1.698126e+18
8.662213e-02 3.748564e+19 1.503269e+18
1.009873e-01 3.641496e+19 1.460332e+18
1.198279e-01 3.848424e+19 1.543315e+18
1.406579e-01 3.830695e+19 1.536206e+18
1.595799e-01 3.869164e+19 1.551632e+18
1.791057e-01 3.779473e+19 1.515664e+18
1.984391e-01 3.371947e+19 1.938089e+18
2.179739e-01 3.638220e+19 2.016390e+18
2.375320e-01 3.449874e+19 1.667566e+18
2.573403e-01 3.541482e+19 1.512216e+18
2.768979e-01 3.530019e+19 1.415627e+18
2.967262e-01 3.392955e+19 1.360661e+18
3.161367e-01 3.140830e+19 1.301295e+18
3.361919e-01 3.126971e+19 1.337117e+18
3.561356e-01 3.276259e+19 1.313863e+18
3.755278e-01 3.156092e+19 1.299206e+18
4.052801e-01 2.894199e+19 1.265129e+18
4.246917e-01 2.817121e+19 1.129737e+18
4.445945e-01 2.907741e+19 1.166078e+18
4.646038e-01 2.913966e+19 1.277229e+18
4.846246e-01 2.914411e+19 1.168752e+18
5.049676e-01 2.994987e+19 1.317244e+18
5.248733e-01 2.787619e+19 1.321541e+18
5.444239e-01 3.016795e+19 1.474853e+18
5.647071e-01 2.853897e+19 1.194153e+18
5.843943e-01 2.859760e+19 1.547156e+18
6.044900e-01 2.820360e+19 1.131036e+18
6.249348e-01 2.673560e+19 1.335418e+18
6.446942e-01 2.960709e+19 1.582193e+18
6.643925e-01 2.631307e+19 1.169049e+18
6.843577e-01 2.820989e+19 1.419484e+18
7.040836e-01 2.704993e+19 1.294019e+18
7.244555e-01 2.591084e+19 1.085972e+18
7.445034e-01 2.450893e+19 1.400945e+18
7.643206e-01 2.483690e+19 1.335044e+18
7.846225e-01 2.378076e+19 1.300868e+18
8.047207e-01 2.174322e+19 1.962477e+18
8.242968e-01 2.030269e+19 2.000440e+18
8.443668e-01 1.961617e+19 1.466444e+18
8.593634e-01 2.268426e+19 2.725196e+18
8.693052e-01 2.279823e+19 3.159233e+18
8.787644e-01 2.026189e+19 2.553234e+18
8.887487e-01 2.016366e+19 3.068697e+18
8.986219e-01 2.012231e+19 3.051666e+18
9.087202e-01 1.922568e+19 2.672292e+18
9.185696e-01 1.669893e+19 2.484790e+18
9.284167e-01 2.390816e+19 2.631392e+18
9.382572e-01 1.944017e+19 2.531867e+18
9.480996e-01 1.647153e+19 2.163772e+18
9.579450e-01 1.723670e+19 3.305051e+18
9.680381e-01 1.680949e+19 3.051493e+18
9.779093e-01 1.048250e+19 5.067965e+18
9.880256e-01 1.106253e+19 4.882952e+18
9.981367e-01 1.375100e+19 8.242968e+18
9.675293e-01 1.000000e-20 1.000000e+20
