#   rhot            Rmid           NE
1.66666694e-02 2.66963335e-02 3.89072405e+13
5.00000007e-02 6.99172025e-02 3.88625208e+13
8.33333433e-02 1.04636823e-01 3.83643801e+13
1.16666697e-01 1.48859320e-01 3.77789098e+13
1.50000006e-01 1.90249936e-01 3.66987801e+13
1.83333293e-01 2.30671429e-01 3.54822893e+13
2.16666698e-01 2.71349856e-01 3.43244999e+13
2.50000000e-01 3.10921607e-01 3.29392304e+13
2.83333302e-01 3.49907673e-01 3.15832601e+13
3.16666692e-01 3.88165853e-01 3.02872391e+13
3.49999994e-01 4.25858985e-01 2.93007408e+13
3.83333296e-01 4.62881249e-01 2.89274205e+13
4.16666687e-01 4.99092801e-01 2.88426599e+13
4.49999988e-01 5.34678563e-01 2.87411305e+13
4.83333290e-01 5.69572106e-01 2.85274202e+13
5.16666710e-01 6.03625325e-01 2.81809309e+13
5.50000012e-01 6.37201334e-01 2.77375405e+13
5.83333313e-01 6.69896190e-01 2.71444701e+13
6.16666675e-01 7.01866167e-01 2.63550203e+13
6.49999976e-01 7.33097903e-01 2.53808303e+13
6.83333278e-01 7.63497997e-01 2.43383004e+13
7.16666579e-01 7.93171003e-01 2.33061996e+13
7.50000000e-01 8.21941987e-01 2.23428708e+13
7.83333421e-01 8.49660418e-01 2.14578894e+13
8.16666722e-01 8.76435456e-01 2.05393494e+13
8.50000024e-01 9.02249909e-01 1.94563403e+13
8.83333325e-01 9.26943589e-01 1.81657802e+13
9.16666687e-01 9.50405396e-01 1.66773402e+13
9.49999988e-01 9.72455863e-01 1.50671500e+13
9.83333290e-01 9.92574970e-01 1.35481398e+13
