#   rhot            Rmid           TE
1.66666694e-02 2.66963335e-02 4.90436182e+03
5.00000007e-02 6.99172025e-02 4.80190283e+03
8.33333433e-02 1.04636823e-01 4.58292676e+03
1.16666697e-01 1.48859320e-01 4.30479492e+03
1.50000006e-01 1.90249936e-01 4.02682593e+03
1.83333293e-01 2.30671429e-01 3.79188306e+03
2.16666698e-01 2.71349856e-01 3.57310693e+03
2.50000000e-01 3.10921607e-01 3.33994995e+03
2.83333302e-01 3.49907673e-01 3.09008301e+03
3.16666692e-01 3.88165853e-01 2.83601709e+03
3.49999994e-01 4.25858985e-01 2.61960596e+03
3.83333296e-01 4.62881249e-01 2.44228906e+03
4.16666687e-01 4.99092801e-01 2.27296802e+03
4.49999988e-01 5.34678563e-01 2.12877490e+03
4.83333290e-01 5.69572106e-01 1.99798401e+03
5.16666710e-01 6.03625325e-01 1.85701501e+03
5.50000012e-01 6.37201334e-01 1.70961902e+03
5.83333313e-01 6.69896190e-01 1.58639600e+03
6.16666675e-01 7.01866167e-01 1.47769995e+03
6.49999976e-01 7.33097903e-01 1.37290002e+03
6.83333278e-01 7.63497997e-01 1.26691394e+03
7.16666579e-01 7.93171003e-01 1.15708105e+03
7.50000000e-01 8.21941987e-01 1.04302795e+03
7.83333421e-01 8.49660418e-01 9.28880127e+02
8.16666722e-01 8.76435456e-01 8.19677490e+02
8.50000024e-01 9.02249909e-01 7.13239014e+02
8.83333325e-01 9.26943589e-01 5.93000671e+02
9.16666687e-01 9.50405396e-01 4.53567596e+02
9.49999988e-01 9.72455863e-01 3.04233795e+02
9.83333290e-01 9.92574970e-01 1.62851196e+02
