# Remapped using 104448/eftp/zstancar/157
# At t=50.900s Rmag=2.999m, Zmag=0.270m
# R of separatrix at the midplane is Rbnd=3.825m
#     rhot          Rmid           TI
1.66666694e-02 2.66963335e-02 8.01050586e+03
5.00000007e-02 6.99172025e-02 7.84316797e+03
8.33333433e-02 1.04636823e-01 7.48552295e+03
1.16666697e-01 1.48859320e-01 7.03124902e+03
1.50000006e-01 1.90249936e-01 6.57719824e+03
1.83333293e-01 2.30671429e-01 6.19339502e+03
2.16666698e-01 2.71349856e-01 5.83602100e+03
2.50000000e-01 3.10921607e-01 5.45520801e+03
2.83333302e-01 3.49907673e-01 5.04710107e+03
3.16666692e-01 3.88165853e-01 4.63209082e+03
3.49999994e-01 4.25858985e-01 4.27854590e+03
3.83333296e-01 4.62881249e-01 3.98888208e+03
4.16666687e-01 4.99092801e-01 3.71238696e+03
4.49999988e-01 5.34678563e-01 3.47697412e+03
4.83333290e-01 5.69572106e-01 3.26339990e+03
5.16666710e-01 6.03625325e-01 3.03321411e+03
5.50000012e-01 6.37201334e-01 2.79258691e+03
5.83333313e-01 6.69896190e-01 2.59136792e+03
6.16666675e-01 7.01866167e-01 2.41380811e+03
6.49999976e-01 7.33097903e-01 2.24262500e+03
6.83333278e-01 7.63497997e-01 2.06949292e+03
7.16666579e-01 7.93171003e-01 1.89005603e+03
7.50000000e-01 8.21941987e-01 1.70372595e+03
7.83333421e-01 8.49660418e-01 1.51720996e+03
8.16666722e-01 8.76435456e-01 1.33875806e+03
8.50000024e-01 9.02249909e-01 1.16485400e+03
8.83333325e-01 9.26943589e-01 9.68437622e+02
9.16666687e-01 9.50405396e-01 7.40711487e+02
9.49999988e-01 9.72455863e-01 4.96857086e+02
9.83333290e-01 9.92574970e-01 2.66012512e+02
