# HRTS/jetppf/31 at t=50.875s
# Remapped onto normaliazed midplane r/a (LFS) using 104453/eftp/zstancar/140
# At t=50.900s Rmag=3.005m, Zmag=0.272m
# R of separatrix at the midplane is Rbnd=3.828m
#     Rmid           TE       error
6.259889e-02 7.398829e+03 7.709712e+02
5.134394e-02 7.822423e+03 7.910163e+02
4.333365e-02 6.178812e+03 5.706018e+02
4.293366e-02 7.832219e+03 7.416179e+02
5.052232e-02 7.219394e+03 8.069528e+02
6.373122e-02 7.503246e+03 6.929109e+02
7.848798e-02 6.290884e+03 7.317585e+02
9.302202e-02 6.376182e+03 6.941353e+02
1.111574e-01 6.483376e+03 5.987278e+02
1.320113e-01 5.878810e+03 5.428972e+02
1.508529e-01 6.319998e+03 6.409242e+02
1.703694e-01 5.178610e+03 4.782351e+02
1.896257e-01 5.931477e+03 6.602703e+02
2.091241e-01 5.284347e+03 6.526509e+02
2.286265e-01 4.338050e+03 5.289719e+02
2.483439e-01 4.468032e+03 4.126145e+02
2.678879e-01 3.806809e+03 3.887500e+02
2.876289e-01 3.845323e+03 3.741394e+02
3.069585e-01 3.779262e+03 3.490079e+02
3.269487e-01 3.533076e+03 3.577113e+02
3.468172e-01 3.420541e+03 3.158806e+02
3.661075e-01 2.845959e+03 2.628191e+02
3.957099e-01 2.998062e+03 2.838568e+02
4.150126e-01 2.823957e+03 2.607872e+02
4.347586e-01 2.833421e+03 2.616612e+02
4.547882e-01 2.586379e+03 2.389544e+02
4.746244e-01 2.543663e+03 2.349026e+02
4.949692e-01 2.393545e+03 3.183602e+02
5.147765e-01 2.034427e+03 2.598960e+02
5.343491e-01 2.825162e+03 3.573459e+02
5.546141e-01 2.250919e+03 2.108876e+02
5.743720e-01 2.218137e+03 2.522238e+02
5.945292e-01 2.139391e+03 1.975688e+02
6.150116e-01 1.740528e+03 1.634895e+02
6.349952e-01 1.631784e+03 1.688207e+02
6.548529e-01 1.540969e+03 1.423056e+02
6.750870e-01 1.418110e+03 1.585722e+02
6.950616e-01 1.540357e+03 1.932298e+02
7.157098e-01 1.615839e+03 1.780601e+02
7.361357e-01 1.382304e+03 1.598035e+02
7.562771e-01 1.365820e+03 1.582857e+02
7.769495e-01 1.320682e+03 1.448172e+02
7.974148e-01 1.054222e+03 2.481037e+02
8.173380e-01 1.172078e+03 2.736184e+02
8.378001e-01 1.340954e+03 2.130197e+02
8.530009e-01 8.551589e+02 1.967760e+02
8.631230e-01 9.841365e+02 9.088319e+01
8.727452e-01 6.808817e+02 1.616830e+02
8.828527e-01 1.033450e+03 2.784897e+02
8.928300e-01 6.223107e+02 1.454062e+02
9.030277e-01 9.400463e+02 2.410831e+02
9.130131e-01 6.177233e+02 1.091577e+02
9.229781e-01 7.699103e+02 1.846574e+02
9.329296e-01 7.441726e+02 1.400252e+02
9.428667e-01 4.549992e+02 1.082713e+02
9.527817e-01 6.611337e+02 1.931442e+02
9.629717e-01 4.228382e+02 1.244046e+02
9.729392e-01 2.685354e+03 4.620060e+03
9.831988e-01 1.034879e+02 1.314548e+02
9.933276e-01 6.625414e+01 6.924722e+01
9.863829e-01 3.066190e+01 7.443979e+01
