# Remapped using 104453/eftp/zstancar/140
# At t=50.900s Rmag=3.005m, Zmag=0.272m
# R of separatrix at the midplane is Rbnd=3.828m
#     rhot          Rmid           NE
1.66666694e-02 2.88687579e-02 4.67242304e+19
5.00000007e-02 7.02207211e-02 4.58925686e+19
8.33333433e-02 1.08018195e-01 4.45524882e+19
1.16666697e-01 1.53260092e-01 4.33396609e+19
1.50000006e-01 1.95676966e-01 4.17644610e+19
1.83333293e-01 2.37329666e-01 3.96500386e+19
2.16666698e-01 2.79083970e-01 3.74113405e+19
2.50000000e-01 3.19570566e-01 3.53689383e+19
2.83333302e-01 3.59314916e-01 3.35172596e+19
3.16666692e-01 3.98284374e-01 3.20822804e+19
3.49999994e-01 4.36498108e-01 3.11018612e+19
3.83333296e-01 4.73910284e-01 3.04118605e+19
4.16666687e-01 5.10473452e-01 2.99079213e+19
4.49999988e-01 5.46272493e-01 2.94096798e+19
4.83333290e-01 5.81062341e-01 2.87778895e+19
5.16666710e-01 6.15041302e-01 2.80599612e+19
5.50000012e-01 6.48261902e-01 2.73185011e+19
5.83333313e-01 6.80603450e-01 2.65537292e+19
6.16666675e-01 7.11928566e-01 2.57021596e+19
6.49999976e-01 7.42410378e-01 2.47320099e+19
6.83333278e-01 7.72106869e-01 2.36530196e+19
7.16666579e-01 8.00841466e-01 2.25283006e+19
7.50000000e-01 8.28580649e-01 2.14413695e+19
7.83333421e-01 8.55288916e-01 2.04020518e+19
8.16666722e-01 8.81065586e-01 1.93553211e+19
8.50000024e-01 9.05885176e-01 1.82304207e+19
8.83333325e-01 9.29606260e-01 1.70008192e+19
9.16666687e-01 9.52210456e-01 1.56787005e+19
9.49999988e-01 9.73515998e-01 1.43420308e+19
9.83333290e-01 9.92911174e-01 1.31312200e+19
