# Remapped using 104453/eftp/zstancar/140
# At t=50.900s Rmag=3.005m, Zmag=0.272m
# R of separatrix at the midplane is Rbnd=3.828m
#     rhot          Rmid           TE
1.66666694e-02 2.88687579e-02 6.24808398e+03
5.00000007e-02 7.02207211e-02 6.14345605e+03
8.33333433e-02 1.08018195e-01 5.89816602e+03
1.16666697e-01 1.53260092e-01 5.55005615e+03
1.50000006e-01 1.95676966e-01 5.12790918e+03
1.83333293e-01 2.37329666e-01 4.68882422e+03
2.16666698e-01 2.79083970e-01 4.25611084e+03
2.50000000e-01 3.19570566e-01 3.85114307e+03
2.83333302e-01 3.59314916e-01 3.48647803e+03
3.16666692e-01 3.98284374e-01 3.15741602e+03
3.49999994e-01 4.36498108e-01 2.87552197e+03
3.83333296e-01 4.73910284e-01 2.64501709e+03
4.16666687e-01 5.10473452e-01 2.46163403e+03
4.49999988e-01 5.46272493e-01 2.30870801e+03
4.83333290e-01 5.81062341e-01 2.13602100e+03
5.16666710e-01 6.15041302e-01 1.94431299e+03
5.50000012e-01 6.48261902e-01 1.76653296e+03
5.83333313e-01 6.80603450e-01 1.62449500e+03
6.16666675e-01 7.11928566e-01 1.50894800e+03
6.49999976e-01 7.42410378e-01 1.40088403e+03
6.83333278e-01 7.72106869e-01 1.29418298e+03
7.16666579e-01 8.00841466e-01 1.18705298e+03
7.50000000e-01 8.28580649e-01 1.08069995e+03
7.83333421e-01 8.55288916e-01 9.68453918e+02
8.16666722e-01 8.81065586e-01 8.50585815e+02
8.50000024e-01 9.05885176e-01 7.28267029e+02
8.83333325e-01 9.29606260e-01 5.96893372e+02
9.16666687e-01 9.52210456e-01 4.53184998e+02
9.49999988e-01 9.73515998e-01 3.08222687e+02
9.83333290e-01 9.92911174e-01 1.86009506e+02
