# 104614M29  idx 1  channel DD (2.45 MeV)  TH=THNTX_DD  BT=BTN[DD]  t = 12.329 s
# (TH/BT)_LOS = 0.374439  [cum (TH/BT)(rhot=1) must match this]
#   rhot          f             TH[n/m3/s]    BT[n/m3/s]    THKM14        BTKM14        DVOL[m3]      TH*f*DVOL[n/s] BT*f*DVOL[n/s] TH/BT_local   TH/BT_cum
2.49999994e-03 1.00000000e+00 1.84033296e+14 4.77087824e+14 1.84033296e+14 4.77087824e+14 1.92002300e-03 3.53348161e+11 9.16019596e+11 3.85743016e-01 3.85743016e-01
7.49999983e-03 1.00000000e+00 1.83376192e+14 4.77087824e+14 1.83376192e+14 4.77087824e+14 5.76050766e-03 1.05633996e+12 2.74826806e+12 3.84365693e-01 3.84710004e-01
1.25000002e-02 1.00000000e+00 1.82852400e+14 4.77087824e+14 1.82852400e+14 4.77087824e+14 9.60124563e-03 1.75561081e+12 4.58063739e+12 3.83267798e-01 3.83908757e-01
1.75000001e-02 1.00000000e+00 1.82705104e+14 4.77087824e+14 1.82705104e+14 4.77087824e+14 1.34413699e-02 2.45580688e+12 6.41271390e+12 3.82959059e-01 3.83493264e-01
2.25000009e-02 1.00000000e+00 1.82644400e+14 4.77087824e+14 1.82644400e+14 4.77087824e+14 1.72797702e-02 3.15605326e+12 8.24396798e+12 3.82831820e-01 3.83255162e-01
2.74999999e-02 1.00000000e+00 1.82651296e+14 4.77087824e+14 1.82651296e+14 4.77087824e+14 2.11175606e-02 3.85714981e+12 1.00749310e+13 3.82846274e-01 3.83130239e-01
3.24999988e-02 1.00000000e+00 1.82724800e+14 4.77087824e+14 1.82724800e+14 4.77087824e+14 2.49552298e-02 4.55993938e+12 1.19058363e+13 3.83000342e-01 3.83095782e-01
3.75000015e-02 1.00000000e+00 1.82864608e+14 4.77087824e+14 1.82864608e+14 4.77087824e+14 2.87921987e-02 5.26507414e+12 1.37364075e+13 3.83293387e-01 3.83142088e-01
4.25000004e-02 1.00000000e+00 1.83071808e+14 4.77087824e+14 1.83071808e+14 4.77087824e+14 3.26303579e-02 5.97369861e+12 1.55675464e+13 3.83727689e-01 3.83264972e-01
4.74999994e-02 1.00000000e+00 1.83344896e+14 4.77087824e+14 1.83344896e+14 4.77087824e+14 3.64687704e-02 6.68636291e+12 1.73988063e+13 3.84300095e-01 3.83461619e-01
5.24999984e-02 1.00000000e+00 1.83693200e+14 4.77119854e+14 1.83693200e+14 4.77119854e+14 4.03079502e-02 7.40429636e+12 1.92317233e+13 3.85004309e-01 3.83729345e-01
5.75000010e-02 1.00000000e+00 1.84141104e+14 4.77366325e+14 1.84141104e+14 4.77366325e+14 4.41471413e-02 8.12930333e+12 2.10743586e+13 3.85743808e-01 3.84051228e-01
6.25000000e-02 9.99514887e-01 1.84680000e+14 4.77834292e+14 1.84590409e+14 4.77602489e+14 4.79831807e-02 8.85723497e+12 2.29168865e+13 3.86493818e-01 3.84412815e-01
6.75000027e-02 9.30549710e-01 1.85264608e+14 4.78497700e+14 1.72397927e+14 4.45265896e+14 5.18221222e-02 8.93402646e+12 2.30746237e+13 3.87179726e-01 3.84771733e-01
7.24999979e-02 8.71724926e-01 1.85855200e+14 4.79330486e+14 1.62014610e+14 4.17844332e+14 5.56556731e-02 9.01703221e+12 2.32554076e+13 3.87739160e-01 3.85114825e-01
7.75000006e-02 8.43432010e-01 1.86576304e+14 4.80306596e+14 1.57364427e+14 4.05105957e+14 5.94903380e-02 9.36166295e+12 2.40998903e+13 3.88452513e-01 3.85471949e-01
8.25000033e-02 8.03341804e-01 1.87385408e+14 4.81399969e+14 1.50534532e+14 3.86728719e+14 6.33235574e-02 9.53238205e+12 2.44890382e+13 3.89250977e-01 3.85842532e-01
8.74999985e-02 7.83576316e-01 1.88460304e+14 4.82584545e+14 1.47673031e+14 3.78141820e+14 6.71504512e-02 9.91631065e+12 2.53923938e+13 3.90522875e-01 3.86274509e-01
9.25000012e-02 7.60861961e-01 1.89958096e+14 4.83834269e+14 1.44531889e+14 3.68131091e+14 7.09799752e-02 1.02588699e+13 2.61299357e+13 3.92609842e-01 3.86824026e-01
9.74999964e-02 7.36125375e-01 1.90299808e+14 4.85123080e+14 1.40084517e+14 3.57111409e+14 7.48105496e-02 1.04797997e+13 2.67157008e+13 3.92271191e-01 3.87267747e-01
1.02499999e-01 7.23993946e-01 1.90143104e+14 4.86424921e+14 1.37662456e+14 3.52168698e+14 7.86441192e-02 1.08263426e+13 2.76959970e+13 3.90899183e-01 3.87550533e-01
1.07500002e-01 7.07954338e-01 1.89948608e+14 4.87713733e+14 1.34474941e+14 3.45279053e+14 8.24650228e-02 1.10894791e+13 2.84734450e+13 3.89467417e-01 3.87692620e-01
1.12499997e-01 6.93371772e-01 1.89716304e+14 4.88963456e+14 1.31543930e+14 3.39033457e+14 8.62875357e-02 1.13506015e+13 2.92543616e+13 3.87996898e-01 3.87714153e-01
1.17500000e-01 6.91297974e-01 1.89491504e+14 4.90148034e+14 1.30995093e+14 3.38838343e+14 9.01125073e-02 1.18042963e+13 3.05335726e+13 3.86600559e-01 3.87637558e-01
1.22500002e-01 6.81020785e-01 1.89239008e+14 4.91241407e+14 1.28875698e+14 3.34545608e+14 9.39324349e-02 1.21056081e+13 3.14246836e+13 3.85226093e-01 3.87478139e-01
1.27499998e-01 6.77399493e-01 1.89002304e+14 4.92217515e+14 1.28030065e+14 3.33427895e+14 9.77387950e-02 1.25135043e+13 3.25888407e+13 3.83981265e-01 3.87253782e-01
1.32499993e-01 6.73073954e-01 1.88752000e+14 4.93050301e+14 1.27044055e+14 3.31859316e+14 1.01557098e-01 1.29022256e+13 3.37026692e+13 3.82825037e-01 3.86978210e-01
1.37500003e-01 6.64336912e-01 1.88511504e+14 4.93713710e+14 1.25235150e+14 3.27992241e+14 1.05366901e-01 1.31956396e+13 3.45595259e+13 3.81823515e-01 3.86669039e-01
1.42499998e-01 6.59578566e-01 1.88266800e+14 4.94181677e+14 1.24176746e+14 3.25951642e+14 1.09164394e-01 1.35556793e+13 3.55823136e+13 3.80966776e-01 3.86337384e-01
1.47499993e-01 6.58724981e-01 1.88014896e+14 4.94428147e+14 1.23850109e+14 3.25692172e+14 1.12990499e-01 1.39938855e+13 3.68001208e+13 3.80267380e-01 3.85992975e-01
1.52500004e-01 6.48493234e-01 1.87783808e+14 4.94334972e+14 1.21776529e+14 3.20572885e+14 1.16775706e-01 1.42205402e+13 3.74351251e+13 3.79871582e-01 3.85658938e-01
1.57499999e-01 6.48779106e-01 1.87545904e+14 4.93360900e+14 1.21675864e+14 3.20082244e+14 1.20592400e-01 1.46731845e+13 3.85994861e+13 3.80139374e-01 3.85364916e-01
1.62499994e-01 6.44100458e-01 1.87304496e+14 4.91483208e+14 1.20642912e+14 3.16564559e+14 1.24380998e-01 1.50056858e+13 3.93746159e+13 3.81100499e-01 3.85145136e-01
1.67500004e-01 6.40677567e-01 1.87082400e+14 4.88775401e+14 1.19859497e+14 3.13147435e+14 1.28168702e-01 1.53622362e+13 4.01357003e+13 3.82757397e-01 3.85025959e-01
1.72499999e-01 6.35461610e-01 1.86853696e+14 4.85311007e+14 1.18738351e+14 3.08396514e+14 1.31963700e-01 1.56691521e+13 4.06971451e+13 3.85018459e-01 3.85025598e-01
1.77499995e-01 6.33068469e-01 1.86629904e+14 4.81163535e+14 1.18149508e+14 3.04609463e+14 1.35736704e-01 1.60372247e+13 4.13466844e+13 3.87872086e-01 3.85158408e-01
1.82500005e-01 6.25195103e-01 1.86424992e+14 4.76406482e+14 1.16551992e+14 2.97847000e+14 1.39537007e-01 1.62633161e+13 4.15606788e+13 3.91314978e-01 3.85434212e-01
1.87500000e-01 6.25143562e-01 1.86210096e+14 4.71113392e+14 1.16408043e+14 2.94513504e+14 1.43303409e-01 1.66816694e+13 4.22047892e+13 3.95255366e-01 3.85861560e-01
1.92499995e-01 6.20057131e-01 1.86011504e+14 4.65357764e+14 1.15337760e+14 2.88548400e+14 1.47068709e-01 1.69625754e+13 4.24364407e+13 3.99717203e-01 3.86442359e-01
1.97500005e-01 6.17917378e-01 1.85830400e+14 4.59213093e+14 1.14827834e+14 2.83755750e+14 1.50853097e-01 1.73221344e+13 4.28054339e+13 4.04671389e-01 3.87181857e-01
2.02500001e-01 6.14959593e-01 1.85647392e+14 4.52752930e+14 1.14165645e+14 2.78424757e+14 1.54623598e-01 1.76527027e+13 4.30510377e+13 4.10041283e-01 3.88077957e-01
2.07499996e-01 6.12565020e-01 1.85476992e+14 4.46050770e+14 1.13616717e+14 2.73235099e+14 1.58403099e-01 1.79972401e+13 4.32812863e+13 4.15820361e-01 3.89129834e-01
2.12500006e-01 6.09669347e-01 1.85311696e+14 4.39180107e+14 1.12978861e+14 2.67754649e+14 1.62122905e-01 1.83164611e+13 4.34091616e+13 4.21949203e-01 3.90332163e-01
2.17500001e-01 6.08107166e-01 1.85155392e+14 4.32214495e+14 1.12594321e+14 2.62832732e+14 1.65897697e-01 1.86791385e+13 4.36033449e+13 4.28387743e-01 3.91682852e-01
2.22499996e-01 6.05036615e-01 1.85016704e+14 4.25227428e+14 1.11941880e+14 2.57278164e+14 1.69655204e-01 1.89915225e+13 4.36485793e+13 4.35100588e-01 3.93172529e-01
2.27500007e-01 6.02979518e-01 1.84892896e+14 4.18292399e+14 1.11486629e+14 2.52221750e+14 1.73390999e-01 1.93307781e+13 4.37329812e+13 4.42018302e-01 3.94795879e-01
2.32500002e-01 6.02694255e-01 1.84692000e+14 4.11482964e+14 1.11312807e+14 2.47998418e+14 1.77138209e-01 1.97177514e+13 4.39299958e+13 4.48844828e-01 3.96541953e-01
2.37499997e-01 5.99632976e-01 1.84317600e+14 4.04872614e+14 1.10522911e+14 2.42774971e+14 1.80867404e-01 1.99899920e+13 4.39100786e+13 4.55248376e-01 3.98378332e-01
2.42500007e-01 5.99864193e-01 1.83763008e+14 3.98534845e+14 1.10232849e+14 2.39066784e+14 1.84582591e-01 2.03470648e+13 4.41275664e+13 4.61096464e-01 4.00289827e-01
2.47500002e-01 5.99252957e-01 1.83022400e+14 3.92543210e+14 1.09676714e+14 2.35232679e+14 1.88315496e-01 2.06538249e+13 4.42979587e+13 4.66247779e-01 4.02247919e-01
2.52499998e-01 5.96713948e-01 1.82095104e+14 3.86892229e+14 1.08658688e+14 2.30863989e+14 1.92038506e-01 2.08666522e+13 4.43347757e+13 4.70661053e-01 4.04221934e-01
2.57499993e-01 5.96003399e-01 1.80985104e+14 3.81161215e+14 1.07867737e+14 2.27173380e+14 1.95746407e-01 2.11147220e+13 4.44683728e+13 4.74825604e-01 4.06207820e-01
2.62499988e-01 5.95075382e-01 1.79674704e+14 3.75292657e+14 1.06919993e+14 2.23327421e+14 1.99495092e-01 2.13300139e+13 4.45527244e+13 4.78758912e-01 4.08196316e-01
2.67500013e-01 5.91786585e-01 1.78151008e+14 3.69305719e+14 1.05427377e+14 2.18550170e+14 2.03140706e-01 2.14165917e+13 4.43964358e+13 4.82394393e-01 4.10168942e-01
2.72500008e-01 5.91820037e-01 1.76439104e+14 3.63219673e+14 1.04420197e+14 2.14960680e+14 2.06866592e-01 2.16010503e+13 4.44681834e+13 4.85764173e-01 4.12129747e-01
2.77500004e-01 5.91000731e-01 1.74500800e+14 3.57053683e+14 1.03130100e+14 2.11018988e+14 2.10559905e-01 2.17150641e+13 4.44321379e+13 4.88724268e-01 4.14064712e-01
2.82499999e-01 5.89410880e-01 1.72434896e+14 3.50826949e+14 1.01635004e+14 2.06781221e+14 2.14253202e-01 2.17756250e+13 4.43035387e+13 4.91509835e-01 4.15967572e-01
2.87499994e-01 5.88714593e-01 1.70188192e+14 3.44558671e+14 1.00192272e+14 2.02846718e+14 2.17893094e-01 2.18312042e+13 4.41988989e+13 4.93930950e-01 4.17832916e-01
2.92499989e-01 5.88624460e-01 1.67751104e+14 3.38268049e+14 9.87424030e+13 1.99112848e+14 2.21575901e-01 2.18789369e+13 4.41186086e+13 4.95911761e-01 4.19654135e-01
2.97500014e-01 5.85806543e-01 1.65108704e+14 3.31974245e+14 9.67217591e+13 1.94472685e+14 2.25277290e-01 2.17892158e+13 4.38102794e+13 4.97353956e-01 4.21413105e-01
3.02500010e-01 5.86324472e-01 1.62295200e+14 3.25696534e+14 9.51576474e+13 1.90963848e+14 2.28930295e-01 2.17844683e+13 4.37174100e+13 4.98301895e-01 4.23111654e-01
3.07500005e-01 5.83259212e-01 1.59436992e+14 3.19454078e+14 9.29930943e+13 1.86324534e+14 2.32581005e-01 2.16284273e+13 4.33355472e+13 4.99092055e-01 4.24739822e-01
3.12500000e-01 5.84796899e-01 1.56384096e+14 3.13266077e+14 9.14529344e+13 1.83197030e+14 2.36181408e-01 2.15994828e+13 4.32677326e+13 4.99205332e-01 4.26299657e-01
3.17499995e-01 5.83234309e-01 1.53149504e+14 3.07151731e+14 8.93220452e+13 1.79141428e+14 2.39869088e-01 2.14255975e+13 4.29704909e+13 4.98611886e-01 4.27773324e-01
3.22499990e-01 5.83079588e-01 1.49853504e+14 3.01130240e+14 8.73765194e+13 1.75582896e+14 2.43506297e-01 2.12767327e+13 4.27555410e+13 4.97636850e-01 4.29161812e-01
3.27499986e-01 5.82530175e-01 1.46416000e+14 2.95220804e+14 8.52917380e+13 1.71975026e+14 2.47077793e-01 2.10736944e+13 4.24912099e+13 4.95954208e-01 4.30455504e-01
3.32500011e-01 5.82287201e-01 1.42825104e+14 2.89442588e+14 8.31652300e+13 1.68538714e+14 2.50708699e-01 2.08502466e+13 4.22541218e+13 4.93448822e-01 4.31645877e-01
3.37500006e-01 5.56774791e-01 1.39265104e+14 2.83814861e+14 7.75392991e+13 1.58020960e+14 2.54339486e-01 1.97213055e+13 4.01909698e+13 4.90689964e-01 4.32688405e-01
3.42500001e-01 5.20104572e-01 1.35541104e+14 2.78356789e+14 7.04955478e+13 1.44774638e+14 2.57922590e-01 1.81823943e+13 3.73406497e+13 4.86932992e-01 4.33563901e-01
3.47499996e-01 4.98721391e-01 1.31760496e+14 2.73087571e+14 6.57117778e+13 1.36194613e+14 2.61542916e-01 1.71864500e+13 3.56207363e+13 4.82484412e-01 4.34305680e-01
3.52499992e-01 4.81387931e-01 1.27956896e+14 2.68000866e+14 6.15969054e+13 1.29012383e+14 2.65070826e-01 1.63275426e+13 3.41974188e+13 4.77449561e-01 4.34924717e-01
3.57499987e-01 4.67906906e-01 1.24066800e+14 2.62958303e+14 5.80517126e+13 1.23040006e+14 2.68721700e-01 1.55997549e+13 3.30635195e+13 4.71811686e-01 4.35429428e-01
3.62500012e-01 4.55831889e-01 1.20226600e+14 2.57942432e+14 5.48031181e+13 1.17578386e+14 2.72249401e-01 1.49201161e+13 3.20106451e+13 4.66098574e-01 4.35830389e-01
3.67500007e-01 4.43967837e-01 1.16287696e+14 2.52960957e+14 5.16279969e+13 1.12306529e+14 2.75765002e-01 1.42371946e+13 3.09702101e+13 4.59706105e-01 4.36128616e-01
3.72500002e-01 4.34304586e-01 1.12460800e+14 2.48021487e+14 4.88422412e+13 1.07716869e+14 2.79350400e-01 1.36440996e+13 3.00907505e+13 4.53431682e-01 4.36336090e-01
3.77499998e-01 4.24422831e-01 1.08550400e+14 2.43131665e+14 4.60712681e+13 1.03190629e+14 2.82902420e-01 1.30336732e+13 2.91928787e+13 4.46467556e-01 4.36452592e-01
3.82499993e-01 4.16538362e-01 1.04764704e+14 2.38299131e+14 4.36385182e+13 9.92607296e+13 2.86407918e-01 1.24984171e+13 2.84290589e+13 4.39635275e-01 4.36487838e-01
3.87499988e-01 4.09217756e-01 1.00949696e+14 2.33531527e+14 4.13104080e+13 9.55652474e+13 2.89985687e-01 1.19794270e+13 2.77125539e+13 4.32274380e-01 4.36442839e-01
3.92500013e-01 4.01088663e-01 9.72560800e+13 2.28836467e+14 3.90083111e+13 9.17837126e+13 2.93511808e-01 1.14493999e+13 2.69396034e+13 4.25002541e-01 4.36325287e-01
3.97500008e-01 3.94863544e-01 9.35792160e+13 2.24221648e+14 3.69510209e+13 8.85369546e+13 2.96907097e-01 1.09710204e+13 2.62872502e+13 4.17351388e-01 4.36136936e-01
4.02500004e-01 3.88069886e-01 9.00323280e+13 2.19694683e+14 3.49388353e+13 8.52568905e+13 3.00488681e-01 1.04987245e+13 2.56187305e+13 4.09806586e-01 4.35884646e-01
4.07499999e-01 3.81653501e-01 8.65659920e+13 2.15263213e+14 3.30382139e+13 8.21559589e+13 3.03960085e-01 1.00422983e+13 2.49721322e+13 4.02140202e-01 4.35572393e-01
4.12499994e-01 3.75664548e-01 8.31990400e+13 2.10934880e+14 3.12549298e+13 7.92407564e+13 3.07442695e-01 9.60909984e+12 2.43619917e+13 3.94429978e-01 4.35204308e-01
4.17499989e-01 3.70510112e-01 7.99579200e+13 2.06717325e+14 2.96252179e+13 7.65908592e+13 3.10841799e-01 9.20875602e+12 2.38076405e+13 3.86798349e-01 4.34784762e-01
4.22500014e-01 3.64817474e-01 7.68049200e+13 2.02618165e+14 2.80197769e+13 7.39186473e+13 3.14280808e-01 8.80607812e+12 2.32312122e+13 3.79062360e-01 4.34317448e-01
