# 104614M29  idx 1  channel DD (2.45 MeV)  [BT anisotropy: dEps/dOmega toward KM14]  TH=THNTX_DD  BT=BTN[DD]  t = 12.329 s
# (TH/BT)_LOS = 0.374151  [cum (TH/BT)(rhot=1) must match this]
#   rhot          f             TH[n/m3/s]    BT[n/m3/s]    THKM14        BTKM14        DVOL[m3]      TH*f*DVOL[n/s] BT*f*DVOL[n/s] TH/BT_local   TH/BT_cum
2.49999994e-03 1.00000000e+00 1.84033296e+14 4.63864658e+14 1.84033296e+14 4.63864658e+14 1.92002300e-03 3.53348161e+11 8.90630812e+11 3.96739206e-01 3.96739206e-01
7.49999983e-03 1.00000000e+00 1.83376192e+14 4.63864658e+14 1.83376192e+14 4.63864658e+14 5.76050766e-03 1.05633996e+12 2.67209591e+12 3.95322620e-01 3.95676747e-01
1.25000002e-02 1.00000000e+00 1.82852400e+14 4.63864658e+14 1.82852400e+14 4.63864658e+14 9.60124563e-03 1.75561081e+12 4.45367852e+12 3.94193429e-01 3.94852659e-01
1.75000001e-02 1.00000000e+00 1.82705104e+14 4.63864658e+14 1.82705104e+14 4.63864658e+14 1.34413699e-02 2.45580688e+12 6.23497643e+12 3.93875888e-01 3.94425322e-01
2.25000009e-02 1.00000000e+00 1.82644400e+14 4.63864658e+14 1.82644400e+14 4.63864658e+14 1.72797702e-02 3.15605326e+12 8.01547470e+12 3.93745022e-01 3.94180432e-01
2.74999999e-02 1.00000000e+00 1.82651296e+14 4.63864658e+14 1.82651296e+14 4.63864658e+14 2.11175606e-02 3.85714981e+12 9.79569000e+12 3.93759889e-01 3.94051949e-01
3.24999988e-02 1.00000000e+00 1.82724800e+14 4.63864658e+14 1.82724800e+14 4.63864658e+14 2.49552298e-02 4.55993938e+12 1.15758491e+13 3.93918349e-01 3.94016509e-01
3.75000015e-02 1.00000000e+00 1.82864608e+14 4.63864658e+14 1.82864608e+14 4.63864658e+14 2.87921987e-02 5.26507414e+12 1.33556834e+13 3.94219747e-01 3.94064135e-01
4.25000004e-02 1.00000000e+00 1.83071808e+14 4.63864658e+14 1.83071808e+14 4.63864658e+14 3.26303579e-02 5.97369861e+12 1.51360698e+13 3.94666429e-01 3.94190522e-01
4.74999994e-02 1.00000000e+00 1.83344896e+14 4.63864658e+14 1.83344896e+14 4.63864658e+14 3.64687704e-02 6.68636291e+12 1.69165737e+13 3.95255152e-01 3.94392775e-01
5.24999984e-02 1.00000000e+00 1.83693200e+14 4.63922292e+14 1.83693200e+14 4.63922292e+14 4.03079502e-02 7.40429636e+12 1.86997567e+13 3.95956829e-01 3.94664221e-01
5.75000010e-02 1.00000000e+00 1.84141104e+14 4.64365787e+14 1.84141104e+14 4.64365787e+14 4.41471413e-02 8.12930333e+12 2.05004220e+13 3.96543219e-01 3.94964581e-01
6.25000000e-02 9.99514887e-01 1.84680000e+14 4.65207840e+14 1.84590409e+14 4.64982162e+14 4.79831807e-02 8.85723497e+12 2.23113231e+13 3.96983851e-01 3.95263818e-01
6.75000027e-02 9.30549710e-01 1.85264608e+14 4.66401564e+14 1.72397927e+14 4.34009841e+14 5.18221222e-02 8.93402646e+12 2.24913110e+13 3.97221241e-01 3.95518225e-01
7.24999979e-02 8.71724926e-01 1.85855200e+14 4.67900066e+14 1.62014610e+14 4.07880151e+14 5.56556731e-02 9.01703221e+12 2.27008444e+13 3.97211314e-01 3.95714570e-01
7.75000006e-02 8.43432010e-01 1.86576304e+14 4.69656462e+14 1.57364427e+14 3.96123294e+14 5.94903380e-02 9.36166295e+12 2.35655086e+13 3.97261230e-01 3.95880759e-01
8.25000033e-02 8.03341804e-01 1.87385408e+14 4.71623860e+14 1.50534532e+14 3.78875162e+14 6.33235574e-02 9.53238205e+12 2.39917231e+13 3.97319610e-01 3.96022639e-01
8.74999985e-02 7.83576316e-01 1.88460304e+14 4.73755367e+14 1.47673031e+14 3.71223485e+14 6.71504512e-02 9.91631065e+12 2.49278245e+13 3.97800885e-01 3.96187896e-01
9.25000012e-02 7.60861961e-01 1.89958096e+14 4.76004100e+14 1.44531889e+14 3.62173413e+14 7.09799752e-02 1.02588699e+13 2.57070598e+13 3.99068193e-01 3.96439795e-01
9.74999964e-02 7.36125375e-01 1.90299808e+14 4.78323164e+14 1.40084517e+14 3.52105818e+14 7.48105496e-02 1.04797997e+13 2.63412298e+13 3.97847778e-01 3.96555593e-01
1.02499999e-01 7.23993946e-01 1.90143104e+14 4.80665676e+14 1.37662456e+14 3.47999039e+14 7.86441192e-02 1.08263426e+13 2.73680779e+13 3.95582863e-01 3.96479017e-01
1.07500002e-01 7.07954338e-01 1.89948608e+14 4.82984743e+14 1.34474941e+14 3.41931144e+14 8.24650228e-02 1.10894791e+13 2.81973596e+13 3.93280762e-01 3.96239074e-01
1.12499997e-01 6.93371772e-01 1.89716304e+14 4.85233473e+14 1.31543930e+14 3.36447193e+14 8.62875357e-02 1.13506015e+13 2.90311992e+13 3.90979424e-01 3.95861940e-01
1.17500000e-01 6.91297974e-01 1.89491504e+14 4.87364983e+14 1.30995093e+14 3.36914426e+14 9.01125073e-02 1.18042963e+13 3.03602037e+13 3.88808204e-01 3.95369907e-01
1.22500002e-01 6.81020785e-01 1.89239008e+14 4.89332381e+14 1.28875698e+14 3.33245522e+14 9.39324349e-02 1.21056081e+13 3.13025633e+13 3.86728971e-01 3.94790146e-01
1.27499998e-01 6.77399493e-01 1.89002304e+14 4.91088774e+14 1.28030065e+14 3.32663286e+14 9.77387950e-02 1.25135043e+13 3.25141087e+13 3.84863825e-01 3.94143436e-01
1.32499993e-01 6.73073954e-01 1.88752000e+14 4.92587276e+14 1.27044055e+14 3.31547666e+14 1.01557098e-01 1.29022256e+13 3.36710189e+13 3.83184887e-01 3.93450802e-01
1.37500003e-01 6.64336912e-01 1.88511504e+14 4.93781002e+14 1.25235150e+14 3.28036946e+14 1.05366901e-01 1.31956396e+13 3.45642363e+13 3.81771480e-01 3.92739200e-01
1.42499998e-01 6.59578566e-01 1.88266800e+14 4.94623055e+14 1.24176746e+14 3.26242765e+14 1.09164394e-01 1.35556793e+13 3.56140939e+13 3.80626819e-01 3.92023713e-01
1.47499993e-01 6.58724981e-01 1.88014896e+14 4.95066549e+14 1.23850109e+14 3.26112703e+14 1.12990499e-01 1.39938855e+13 3.68476369e+13 3.79777014e-01 3.91318346e-01
1.52500004e-01 6.48493234e-01 1.87783808e+14 4.95003296e+14 1.21776529e+14 3.21006288e+14 1.16775706e-01 1.42205402e+13 3.74857361e+13 3.79358703e-01 3.90656370e-01
1.57499999e-01 6.48779106e-01 1.87545904e+14 4.94062492e+14 1.21675864e+14 3.20537422e+14 1.20592400e-01 1.46731845e+13 3.86543771e+13 3.79599559e-01 3.90059363e-01
1.62499994e-01 6.44100458e-01 1.87304496e+14 4.92248101e+14 1.20642912e+14 3.17057227e+14 1.24380998e-01 1.50056858e+13 3.94358944e+13 3.80508316e-01 3.89560702e-01
1.67500004e-01 6.40677567e-01 1.87082400e+14 4.89630251e+14 1.19859497e+14 3.13695118e+14 1.28168702e-01 1.53622362e+13 4.02058962e+13 3.82089137e-01 3.89183093e-01
1.72499999e-01 6.35461610e-01 1.86853696e+14 4.86279096e+14 1.18738351e+14 3.09011697e+14 1.31963700e-01 1.56691521e+13 4.07783269e+13 3.84251961e-01 3.88942654e-01
1.77499995e-01 6.33068469e-01 1.86629904e+14 4.82264766e+14 1.18149508e+14 3.05306617e+14 1.35736704e-01 1.60372247e+13 4.14413139e+13 3.86986396e-01 3.88850293e-01
1.82500005e-01 6.25195103e-01 1.86424992e+14 4.77657385e+14 1.16551992e+14 2.98629058e+14 1.39537007e-01 1.62633161e+13 4.16698048e+13 3.90290191e-01 3.88915552e-01
1.87500000e-01 6.25143562e-01 1.86210096e+14 4.72527118e+14 1.16408043e+14 2.95397285e+14 1.43303409e-01 1.66816694e+13 4.23314381e+13 3.94072825e-01 3.89142547e-01
1.92499995e-01 6.20057131e-01 1.86011504e+14 4.66944088e+14 1.15337760e+14 2.89532012e+14 1.47068709e-01 1.69625754e+13 4.25810992e+13 3.98359265e-01 3.89533310e-01
1.97500005e-01 6.17917378e-01 1.85830400e+14 4.60978417e+14 1.14827834e+14 2.84846575e+14 1.50853097e-01 1.73221344e+13 4.29699881e+13 4.03121693e-01 3.90090828e-01
2.02500001e-01 6.14959593e-01 1.85647392e+14 4.54700276e+14 1.14165645e+14 2.79622297e+14 1.54623598e-01 1.76527027e+13 4.32362055e+13 4.08285198e-01 3.90812170e-01
2.07499996e-01 6.12565020e-01 1.85476992e+14 4.48179786e+14 1.13616717e+14 2.74539260e+14 1.58403099e-01 1.79972401e+13 4.34878695e+13 4.13845063e-01 3.91695435e-01
2.12500006e-01 6.09669347e-01 1.85311696e+14 4.41487065e+14 1.12978861e+14 2.69161131e+14 1.62122905e-01 1.83164611e+13 4.36371845e+13 4.19744338e-01 3.92734755e-01
2.17500001e-01 6.08107166e-01 1.85155392e+14 4.34692290e+14 1.12594321e+14 2.64339497e+14 1.65897697e-01 1.86791385e+13 4.38533138e+13 4.25945884e-01 3.93927052e-01
2.22499996e-01 6.05036615e-01 1.85016704e+14 4.27865580e+14 1.11941880e+14 2.58874342e+14 1.69655204e-01 1.89915225e+13 4.39193792e+13 4.32417827e-01 3.95262942e-01
2.27500007e-01 6.02979518e-01 1.84892896e+14 4.21077050e+14 1.11486629e+14 2.53900837e+14 1.73390999e-01 1.93307781e+13 4.40241199e+13 4.39095163e-01 3.96736577e-01
2.32500002e-01 6.02694255e-01 1.84692000e+14 4.14396880e+14 1.11312807e+14 2.49754619e+14 1.77138209e-01 1.97177514e+13 4.42410860e+13 4.45688683e-01 3.98336402e-01
2.37499997e-01 5.99632976e-01 1.84317600e+14 4.07895187e+14 1.10522911e+14 2.44587405e+14 1.80867404e-01 1.99899920e+13 4.42378890e+13 4.51874907e-01 4.00030624e-01
2.42500007e-01 5.99864193e-01 1.83763008e+14 4.01642091e+14 1.10232849e+14 2.40930709e+14 1.84582591e-01 2.03470648e+13 4.44716145e+13 4.57529259e-01 4.01803383e-01
2.47500002e-01 5.99252957e-01 1.83022400e+14 3.95707765e+14 1.09676714e+14 2.37129048e+14 1.88315496e-01 2.06538249e+13 4.46550743e+13 4.62519102e-01 4.03626607e-01
2.52499998e-01 5.96713948e-01 1.82095104e+14 3.90083453e+14 1.08658688e+14 2.32768237e+14 1.92038506e-01 2.08666522e+13 4.47004645e+13 4.66810634e-01 4.05470455e-01
2.57499993e-01 5.96003399e-01 1.80985104e+14 3.84348016e+14 1.07867737e+14 2.29072724e+14 1.95746407e-01 2.11147220e+13 4.48401626e+13 4.70888613e-01 4.07331002e-01
2.62499988e-01 5.95075382e-01 1.79674704e+14 3.78446672e+14 1.06919993e+14 2.25204298e+14 1.99495092e-01 2.13300139e+13 4.49271521e+13 4.74768884e-01 4.09199468e-01
2.67500013e-01 5.91786585e-01 1.78151008e+14 3.72401476e+14 1.05427377e+14 2.20382198e+14 2.03140706e-01 2.14165917e+13 4.47685952e+13 4.78384269e-01 4.11058251e-01
2.72500008e-01 5.91820037e-01 1.76439104e+14 3.66234593e+14 1.04420197e+14 2.16744970e+14 2.06866592e-01 2.16010503e+13 4.48372934e+13 4.81765261e-01 4.12910993e-01
2.77500004e-01 5.91000731e-01 1.74500800e+14 3.59968077e+14 1.03130100e+14 2.12741397e+14 2.10559905e-01 2.17150641e+13 4.47948082e+13 4.84767431e-01 4.14744083e-01
2.82499999e-01 5.89410880e-01 1.72434896e+14 3.53624022e+14 1.01635004e+14 2.08429846e+14 2.14253202e-01 2.17756250e+13 4.46567620e+13 4.87622122e-01 4.16551537e-01
2.87499994e-01 5.88714593e-01 1.70188192e+14 3.47224519e+14 1.00192272e+14 2.04416141e+14 2.17893094e-01 2.18312042e+13 4.45408654e+13 4.90138751e-01 4.18327902e-01
2.92499989e-01 5.88624460e-01 1.67751104e+14 3.40791659e+14 9.87424030e+13 2.00598306e+14 2.21575901e-01 2.18789369e+13 4.44477505e+13 4.92239465e-01 4.20066486e-01
2.97500014e-01 5.85806543e-01 1.65108704e+14 3.34347497e+14 9.67217591e+13 1.95862951e+14 2.25277290e-01 2.17892158e+13 4.41234748e+13 4.93823659e-01 4.21749481e-01
3.02500010e-01 5.86324472e-01 1.62295200e+14 3.27914200e+14 9.51576474e+13 1.92264120e+14 2.28930295e-01 2.17844683e+13 4.40150816e+13 4.94931906e-01 4.23378186e-01
3.07500005e-01 5.83259212e-01 1.59436992e+14 3.21513822e+14 9.29930943e+13 1.87525898e+14 2.32581005e-01 2.16284273e+13 4.36149618e+13 4.95894674e-01 4.24942893e-01
